open,high,low,close,adjclose,volume,ticker
170.0500030517578,174.25,169.50999450683594,173.0800018310547,134.7606658935547,9135000,GS
173.0,176.25999450683594,172.57000732421875,176.13999938964844,137.1431121826172,11659400,GS
175.3800048828125,175.3800048828125,173.75999450683594,174.25999450683594,135.6793670654297,7381100,GS
174.32000732421875,178.75,173.9499969482422,177.6699981689453,138.3344268798828,8727400,GS
176.3300018310547,177.42999267578125,173.9499969482422,174.30999755859375,135.71832275390625,7268100,GS
175.05999755859375,175.05999755859375,170.52000427246094,171.55999755859375,133.57713317871094,7704900,GS
170.00999450683594,170.47999572753906,167.02999877929688,167.82000732421875,130.66519165039062,10360100,GS
168.00999450683594,169.6699981689453,166.1199951171875,169.07000732421875,131.63845825195312,11269500,GS
168.0,170.72000122070312,167.2100067138672,168.52999877929688,131.21804809570312,10521400,GS
167.60000610351562,167.8000030517578,164.5800018310547,165.2100067138672,128.6330108642578,10896300,GS
165.00999450683594,167.39999389648438,163.89999389648438,166.86000061035156,129.9176788330078,7705300,GS
165.8000030517578,168.17999267578125,164.32000732421875,167.7899932861328,130.64187622070312,8893900,GS
169.2899932861328,171.0,156.77000427246094,160.8699951171875,125.25393676757812,51738300,GS
158.69000244140625,159.75,152.25,154.1199951171875,119.99832153320312,30175600,GS
156.1300048828125,158.3000030517578,154.5,154.97999572753906,120.66791534423828,17877000,GS
154.91000366210938,156.5,150.6999969482422,150.8800048828125,117.47566986083984,15985900,GS
150.75,152.92999267578125,148.27000427246094,151.5,117.95838165283203,19899000,GS
154.22999572753906,155.1999969482422,149.9499969482422,153.2899932861328,119.35208892822266,16160700,GS
154.44000244140625,154.8800048828125,147.80999755859375,148.72000122070312,115.79383850097656,18502800,GS
149.82000732421875,155.25,149.2100067138672,153.1300048828125,119.22747802734375,12980800,GS
153.64999389648438,157.5,153.64999389648438,156.94000244140625,122.1939926147461,17246600,GS
157.9199981689453,159.94000244140625,157.11000061035156,157.22999572753906,122.41976165771484,16785200,GS
155.27000427246094,156.05999755859375,150.4499969482422,150.67999267578125,117.3199234008789,18895000,GS
150.82000732421875,154.4600067138672,148.8699951171875,154.16000366210938,120.02947235107422,18759200,GS
154.27000427246094,154.60000610351562,150.82000732421875,151.10000610351562,117.64695739746094,10257300,GS
152.6999969482422,153.52999877929688,149.64999389648438,152.49000549316406,118.72918701171875,14017300,GS
152.77000427246094,155.35000610351562,151.75999450683594,153.6300048828125,119.6167984008789,10555300,GS
154.39999389648438,155.32000732421875,152.25,154.0500030517578,119.9438705444336,11163400,GS
152.3699951171875,154.5,151.13999938964844,153.92999267578125,119.85039520263672,10293200,GS
155.3000030517578,157.74000549316406,154.60000610351562,157.39999389648438,122.55216217041016,11497100,GS
158.0,158.19000244140625,155.80999755859375,157.25999450683594,122.44318389892578,10070000,GS
155.61000061035156,156.58999633789062,154.8800048828125,155.72999572753906,121.25188446044922,10991100,GS
154.50999450683594,157.0,154.49000549316406,156.17999267578125,121.60224151611328,8693000,GS
157.1999969482422,157.97000122070312,156.02999877929688,156.7100067138672,122.01488494873047,7375500,GS
156.80999755859375,160.2100067138672,155.91000366210938,156.6999969482422,122.00711059570312,15696000,GS
157.33999633789062,159.25,156.8699951171875,158.3300018310547,123.27625274658203,8361500,GS
156.22999572753906,156.44000244140625,154.32000732421875,156.44000244140625,121.80467224121094,10519900,GS
156.25999450683594,156.99000549316406,155.25999450683594,156.35000610351562,122.00760650634766,7812700,GS
156.50999450683594,158.2899932861328,156.1699981689453,156.5399932861328,122.15580749511719,6522800,GS
157.17999267578125,159.75,156.91000366210938,158.75,123.88046264648438,11986400,GS
159.0399932861328,159.4499969482422,157.22999572753906,157.72000122070312,123.07666778564453,10006000,GS
158.25,163.85000610351562,158.11000061035156,163.61000061035156,127.67288970947266,15439500,GS
165.11000061035156,168.25,165.0,167.17999267578125,130.45877075195312,12226700,GS
167.8800048828125,170.69000244140625,167.4600067138672,169.83999633789062,132.53451538085938,9344500,GS
169.22000122070312,172.1999969482422,168.0,168.85000610351562,131.7619171142578,12958700,GS
170.25999450683594,172.33999633789062,168.8699951171875,171.94000244140625,134.17324829101562,13107200,GS
171.39999389648438,173.57000732421875,171.10000610351562,173.50999450683594,135.3983917236328,8910600,GS
175.00999450683594,176.33999633789062,174.0,174.9600067138672,136.5298614501953,10216900,GS
173.9499969482422,175.1999969482422,170.3800048828125,173.52999877929688,135.4139404296875,13958600,GS
174.3300018310547,176.4199981689453,173.55999755859375,176.19000244140625,137.48971557617188,11687700,GS
176.86000061035156,177.8800048828125,175.57000732421875,176.63999938964844,137.84088134765625,10138600,GS
176.1999969482422,177.75,175.66000366210938,177.4499969482422,138.47296142578125,6883500,GS
177.89999389648438,178.2100067138672,175.9499969482422,177.89999389648438,138.8241424560547,10896600,GS
176.2100067138672,176.9499969482422,175.22999572753906,176.16000366210938,137.46629333496094,7320400,GS
176.25,176.80999755859375,173.2899932861328,174.8300018310547,136.428466796875,10804800,GS
173.63999938964844,175.9600067138672,173.63999938964844,174.41000366210938,136.10072326660156,8396100,GS
175.24000549316406,178.72999572753906,174.77999877929688,174.89999389648438,136.48304748535156,9534300,GS
175.3800048828125,175.47999572753906,171.91000366210938,172.8699951171875,134.89889526367188,11811500,GS
173.8699951171875,174.42999267578125,171.63999938964844,174.0500030517578,135.81976318359375,11785600,GS
174.25999450683594,174.77999877929688,170.6999969482422,171.3800048828125,133.73623657226562,8184600,GS
170.0,171.66000366210938,169.85000610351562,170.6300048828125,133.1509552001953,8243200,GS
