Attack_Day,Baseline_CR,CR_Omega_30,CR_Omega_40,CR_Omega_50
0,49.212775269901435,49.212775269901435,49.212775269901435,49.212775269901435
1,49.212775269901435,49.212775269901435,49.212775269901435,49.212775269901435
2,49.212775269901435,49.208847013758366,49.208847013758366,49.208847013758366
3,49.212775269901435,49.208847013758366,49.208847013758366,49.208847013758366
4,49.212775269901435,49.208847013758366,49.208847013758366,49.208847013758366
5,49.212775269901435,49.181453677082004,49.181453677082004,49.181453677082004
6,49.212775269901435,49.181453677082004,49.181453677082004,49.181453677082004
7,49.212775269901435,49.181453677082004,47.238919503843384,47.238919503843384
8,49.212775269901435,49.181453677082004,47.238919503843384,47.238919503843384
9,49.212775269901435,49.181453677082004,47.238919503843384,47.238919503843384
10,49.212775269901435,49.18144626760692,47.23700610827447,47.23700610827447
11,49.212775269901435,49.18144626760692,47.23700610827447,47.23700610827447
12,49.212775269901435,49.18144626760692,47.23700610827447,47.23700610827447
13,49.212775269901435,49.18144626760692,47.23700610827447,47.23700610827447
14,49.212775269901435,49.18144626760692,47.23700610827447,47.23700610827447
15,49.212775269901435,49.18144626760692,47.23700610827447,47.22782804680904
16,49.212775269901435,47.188829650802155,49.150478479820876,49.14520130409699
17,49.212775269901435,47.17545840511286,49.154011881612306,49.14537848312012
18,49.212775269901435,47.16723471697031,49.145590910257845,49.13540878815217
19,49.212775269901435,47.17117892037988,49.15556649808749,49.14808686510022
20,49.212775269901435,50.11458994845856,50.08815064549489,50.07724293945592
21,49.212775269901435,48.118024109394774,50.08974691604671,50.081894907880184
22,49.212775269901435,48.118024109394774,50.203464162314205,48.90740131847203
23,49.212775269901435,50.0988890661574,50.203464162314205,48.90740131847203
24,49.212775269901435,53.73760657295263,53.846547699286496,52.46894971795634
25,49.212775269901435,53.73760657295263,53.846547699286496,52.46894971795635
26,49.212775269901435,53.75409620850963,53.85346137283244,52.469982891817544
27,49.212775269901435,53.614480888014995,53.72952656584567,52.34015369950741
28,49.212775269901435,53.614480888014995,53.72952656584566,52.34015369950742
29,49.212775269901435,53.614480888014995,53.729526565845674,52.34015369950742
30,49.212775269901435,53.614480888014995,53.72952749677911,52.36606525679793
31,49.212775269901435,53.60739445074915,53.7181025564533,52.35201533464138
32,49.212775269901435,53.60739445074916,53.718102556453296,52.35201533464139
33,49.212775269901435,53.607394450749155,53.718102556453296,52.352015334641386
34,49.212775269901435,53.60739401948899,53.71810212659885,52.3520149120611
35,49.212775269901435,53.60739401948899,53.718102126598865,52.3520149120611
36,49.212775269901435,53.61745643025625,53.70513899951347,52.32683960299187
37,49.212775269901435,53.93959407926928,54.115501689824576,49.82921446602451
38,49.212775269901435,53.92121669461259,54.08899204871939,49.80881141566922
39,49.212775269901435,53.92121669461259,54.08899204871938,49.80881141566922
40,49.212775269901435,53.92182429692383,54.082027948615924,49.80563853982824
41,49.212775269901435,53.92182429692383,54.082027948615924,49.80563853982823
42,49.212775269901435,53.92182429692382,54.082027948615924,49.80563853982823
43,49.212775269901435,53.92182429692382,54.082027948615924,49.80563853982822
44,49.212775269901435,53.92182429692382,54.08202794861592,49.80563853982824
45,49.212775269901435,53.94810954019105,54.105940702925196,49.825688035841935
46,49.212775269901435,53.94810954019104,54.10594070292519,49.825688035841935
47,49.212775269901435,51.77561903131874,54.1061873781999,47.84186738596176
48,49.212775269901435,51.77561903131874,56.35584369100234,49.836192057357984
49,49.212775269901435,51.78102720862995,56.36132362611738,49.83394041975762
50,49.212775269901435,51.78102720862996,56.36132362611738,49.833940419757624
51,49.212775269901435,51.78102720862995,56.36132362611738,49.83394041975761
52,49.212775269901435,51.80277013882664,54.10757325990475,49.833380702315246
53,49.212775269901435,53.99697758436418,54.08968949350681,49.71692245969447
54,49.212775269901435,53.98996014726634,54.09015365877218,49.71775273111505
55,49.212775269901435,53.98996014726633,54.090153658772174,49.71775273111505
56,49.212775269901435,54.446324509944375,54.54165366984815,50.14943762159229
57,49.212775269901435,52.28028212662584,52.365910540879085,50.14425988817894
58,49.212775269901435,52.280282126625835,52.365910540879085,50.14425988817894
59,49.212775269901435,52.28028212662584,52.365910540879085,50.14425988817893
60,49.212775269901435,52.302493969335934,54.54842489524291,50.169449155599
61,49.212775269901435,52.302493969335934,52.33554432851154,52.273679621201126
