Attack_Day,Window_Size,Sharpe_Before_Attack,Sharpe_After_Attack
0,50,0.7222951343527272,0.7222951343527272
0,40,0.7222951343527272,0.7222951343527272
0,30,0.7222951343527272,0.7222951343527272
1,50,0.7222951343527272,0.7222951343527272
1,40,0.7222951343527272,0.7222951343527272
1,30,0.7222951343527272,0.7222951343527272
2,50,0.7222951343527272,0.7305919987230948
2,40,0.7222951343527272,0.7305919987230948
2,30,0.7222951343527272,0.7305919987230948
3,50,0.7222951343527272,0.7305919987230948
3,40,0.7222951343527272,0.7305919987230948
3,30,0.7222951343527272,0.7305919987230948
4,50,0.7222951343527272,0.7305919987230948
4,40,0.7222951343527272,0.7305919987230948
4,30,0.7222951343527272,0.7305919987230948
5,50,0.7222951343527272,0.7233531662755381
5,40,0.7222951343527272,0.7233531662755381
5,30,0.7222951343527272,0.7233531662755381
6,50,0.7222951343527272,0.7233531662755381
6,40,0.7222951343527272,0.7233531662755381
6,30,0.7222951343527272,0.7233531662755381
7,50,0.7222951343527272,0.0011287969188024701
7,40,0.7222951343527272,0.0011287969188024701
7,30,0.7222951343527272,0.7233531662755381
8,50,0.7222951343527272,0.0011287969188024701
8,40,0.7222951343527272,0.0011287969188024701
8,30,0.7222951343527272,0.7233531662755381
9,50,0.7222951343527272,0.0011287969188024701
9,40,0.7222951343527272,0.0011287969188024701
9,30,0.7222951343527272,0.7233531662755381
10,50,0.7222951343527272,0.023670094370926167
10,40,0.7222951343527272,0.023670094370926167
10,30,0.7222951343527272,0.7233876433916951
11,50,0.7222951343527272,0.023670094370926167
11,40,0.7222951343527272,0.023670094370926167
11,30,0.7222951343527272,0.7233876433916951
12,50,0.7222951343527272,0.023670094370926167
12,40,0.7222951343527272,0.023670094370926167
12,30,0.7222951343527272,0.7233876433916951
13,50,0.7222951343527272,0.023670094370926167
13,40,0.7222951343527272,0.023670094370926167
13,30,0.7222951343527272,0.7233876433916951
14,50,0.7222951343527272,0.023670094370926167
14,40,0.7222951343527272,0.023670094370926167
14,30,0.7222951343527272,0.7233876433916951
15,50,0.7222951343527272,0.00903907839426296
15,40,0.7222951343527272,0.023670094370926167
15,30,0.7222951343527272,0.7233876433916951
16,50,0.7222951343527272,0.7485984955927352
16,40,0.7222951343527272,0.7473629103022835
16,30,0.7222951343527272,0.9308873760167947
17,50,0.7222951343527272,0.7388338640301606
17,40,0.7222951343527272,0.7369905759337252
17,30,0.7222951343527272,0.9185235867753263
18,50,0.7222951343527272,0.7432494672543212
18,40,0.7222951343527272,0.7399731142589109
18,30,0.7222951343527272,0.9312003993158936
19,50,0.7222951343527272,0.749265191575423
