Close,High,Low,Open,Volume
V,V,V,V,V
209.13937377929688,211.5308056432015,205.7587330895478,211.5308056432015,10318300
206.01803588867188,209.81167617335765,205.18248188249248,207.74678094863663,6869700
204.20281982421875,207.61228577380632,203.67460488313938,205.3361137438306,7206200
205.34573364257812,206.69991838482912,203.7994693879937,203.7994693879937,10967900
206.92080688476562,207.564281304321,204.3276968590974,205.69148043326769,6513000
204.462158203125,206.3541714606878,204.06838567333776,205.48980631919503,7353100
200.5916748046875,204.36608738010355,199.25670255182783,203.93390485955814,9331600
201.0623016357422,202.64697591728026,200.3708036735041,201.11992402347414,6688500
193.86883544921875,202.8486966859709,193.74397715556293,202.23403337484342,12887500
193.6094970703125,195.2133837287353,192.49541537131648,193.56147352807986,8755000
193.67672729492188,196.08735663531772,192.14967541779535,195.01169966346416,9772000
197.85450744628906,198.9878014363987,194.22415058707105,194.99248326015316,12675700
197.0189666748047,198.96860235306417,196.64440648673335,197.8929453318804,6513500
194.0225067138672,197.2014692420978,193.81121482485523,195.91452021246457,7316200
193.02366638183594,193.6575420380903,188.0007139888053,192.40900307554574,19282400
194.0128631591797,195.43428376594497,193.01404091970815,193.7727601092875,9605300
187.25155639648438,191.79430172235539,186.28154540929233,189.81585505566542,13772400
190.37294006347656,194.00329762890644,190.32491651430564,192.08247289990737,11041300
185.59967041015625,195.01171354818874,185.17708666834687,189.98876150017955,21503000
190.5074005126953,191.32375689857162,187.2996266767627,187.41487147298807,12970700
194.589111328125,196.26023378802765,192.0824349656344,192.89879117612907,11305100
193.38861083984375,195.45349131111388,193.02364949609768,195.03092223197325,13458600
200.96624755859375,201.37921775945128,195.0597185460025,195.1941756642732,14534800
200.50527954101562,201.81144085238205,200.3996336020548,201.6673702148562,10284000
198.69972229003906,202.31086766451074,197.75852223454146,201.686605461878,8637100
198.34434509277344,199.4104032932289,195.63597547090828,197.61442239226773,7619400
198.2675018310547,199.73693136112774,197.78729571914252,199.73693136112774,8467600
202.634521484375,203.52908437037576,199.29671637337165,199.43138222752694,8411100
201.96119689941406,203.08662185185437,199.7680441591075,201.3840491239422,6911000
199.97967529296875,203.00967926860673,199.4506402593855,202.63453759666814,9652700
199.6045379638672,200.3452075754685,197.24787793874893,197.44025565309923,8373200
201.3744354248047,201.7110927293467,197.15168107643095,198.03663023555163,7328600
196.93048095703125,201.5476202590604,195.99743347542923,201.3648562628215,15011500
200.38368225097656,202.62490379730298,195.37216010633594,195.79539986396125,8337700
204.02932739257812,205.76075641948847,198.68114692527348,199.49875599528613,10571700
211.07041931152344,212.12851873851167,203.24052758424602,204.26977108845082,12039000
205.60682678222656,212.05157584411512,204.4814017021898,210.93576451301772,11404300
204.29861450195312,207.01118849733368,202.71148013613012,205.89537729310007,11730000
208.3771209716797,209.5025460951239,206.60720770745746,206.78035793739957,6982000
207.54986572265625,209.627565561349,206.63606058227342,208.69453292399544,6155200
206.6649169921875,208.91576705127102,204.75072426062854,206.95347622221465,6484600
203.4425811767578,208.75229236964756,200.72039263186554,207.74229080419565,10658900
207.20358276367188,207.86729835507643,201.64378314861517,205.58757767014615,7582000
211.87843322753906,217.51518686603228,207.58833826958193,208.7137633120611,14750400
211.96498107910156,216.42821115765364,211.80145930307975,213.60021351679723,9228600
214.66795349121094,215.64909894767018,211.04157401161058,212.31129338790836,7822900
217.53439331054688,219.5351536404827,215.28354344342313,215.9761148913808,10053400
215.8125762939453,217.90951796974497,214.90838504750832,216.6975253690285,8172400
214.76414489746094,218.4386077171326,213.29243408435562,215.6875638073613,9306100
216.13963317871094,216.9861126408819,213.831071507761,215.18735846124574,8949300
214.52365112304688,217.62098053409827,213.31164372373598,216.47631340251698,8675600
212.25360107421875,214.04274192890622,211.2147436736763,212.99425610107946,9321800
199.0177764892578,211.78223672229896,198.9985489920488,210.7722353746318,32209700
200.07589721679688,204.20245613880195,198.3733241740556,198.6811402918874,11371600
200.2201690673828,201.96122639592994,199.59493778387102,201.08589085702963,8820700
200.1431884765625,203.0962234116525,200.00850794988744,200.79727555053228,10101600
200.04701232910156,200.86463593092742,197.94044194479008,199.75843842978196,8390800
205.39520263671875,205.55872443018106,199.7873048504241,200.31635458073094,7399900
206.33787536621094,207.08815877971048,203.07702370677686,204.35635688043115,7792300
203.8272705078125,205.99155258356666,203.35594736045587,204.89498358561696,5498000
203.6637725830078,205.95310703245127,203.4906370418628,204.45254029927887,13180000
208.59835815429688,209.44483778726655,204.21208128796334,205.63569411638315,6138400
210.69529724121094,212.1092962990743,209.03120860346286,210.27207210851677,10440500
210.3201904296875,211.04161804105505,207.1362922532493,209.32943101760802,7828100
210.91653442382812,212.61909264637478,210.3105306660693,210.77224012663459,5614300
212.29205322265625,214.33129817867203,209.80072722350408,211.58986793046807,11042000
214.04269409179688,214.11964810546954,211.14735620258793,212.58059718697112,5724900
213.03271484375,213.45595462391887,210.8684325221873,211.84957795098978,6315200
212.5998992919922,213.17703254101585,211.83037361581253,212.5806571137803,4764000
213.52330017089844,214.60064189676143,211.68607593892003,212.58063900356353,4972600
217.659423828125,218.95799883360863,215.3316201779601,215.36047609563965,8698100
217.78453063964844,219.12157564546786,217.15928468539295,218.51557186699185,6829400
217.18812561035156,218.9099406254458,216.50518253088404,217.14965593892916,6541600
214.77374267578125,216.79374524188594,213.36937224047082,216.21659745800523,5799100
218.78489685058594,219.1888944645804,214.37937809205715,214.80261788123588,9490600
218.90036010742188,222.1323413867687,218.24625817411538,218.64064208408834,7303000
221.23779296875,222.98846428873748,219.0350405316314,219.90074776355988,5345200
221.56480407714844,224.07537229399205,220.77605099817714,221.97843013119652,5650000
221.15118408203125,222.35356316819235,220.2662348359142,222.22851104643829,6642100
224.5563201904297,227.2688945143309,221.88223021752984,222.15156196462195,10111400
227.83639526367188,228.4520127319346,224.26772789090577,226.26848833212915,7411400
224.662109375,226.9418152655698,223.44048819950416,226.3550684030832,10260200
223.7483367919922,226.75909894685435,222.57481354148592,225.13347995176878,8174400
223.19036865234375,223.53665434540994,221.45894018701284,222.77675737651597,5884500
220.47787475585938,224.94110574199712,219.9488249743977,224.94110574199712,6523200
222.5074920654297,222.75758165489512,219.94882560770628,220.88187304020332,6124100
223.2769775390625,224.33507698432354,221.9207051123827,223.4885974281147,4528700
217.3612518310547,223.16152654065013,216.582112642822,222.77677115898464,9627400
216.88990783691406,217.79409910330665,213.58095880989296,215.21620582910163,7633300
212.22471618652344,216.42822864156875,211.91690010504348,215.11042590174435,7721300
215.52882385253906,216.64624107839074,212.78341199778674,213.3806535063279,6650100
218.6114044189453,219.16047802690656,216.66553341258108,217.53251262870688,4777200
218.12974548339844,218.82332294906882,217.05085373626565,217.87927797153,5534200
217.29173278808594,220.7692339935239,217.15685658740838,220.00823295410814,6900000
216.34765625,216.59812378779029,213.65041190422212,214.58481456721088,9311900
218.12974548339844,219.24717747795603,216.97378794021364,217.16644508094484,7478600
218.44764709472656,220.89442376949995,218.23571981988812,218.55361073214578,5603900
220.904052734375,221.6650535758452,219.2760727216681,219.58432120343411,4040100
220.61505126953125,221.74211092026835,220.03706517740085,221.46274558617978,4689100
218.73667907714844,220.93300331723736,218.0719992968161,219.68070957011275,4295600
