name,model_type,imbalance_strategy,cv_pr_auc_mean,cv_pr_auc_std,val_threshold,val_f1_attack,val_pr_auc
rf_class_weight,random_forest,class_weight,0.43376604141500064,0.012217790852135445,0.25,0.5598755832037325,0.4048998203054195
gb_class_weight,gradient_boosting,class_weight,0.4472346938038643,0.01913513738781577,0.05,0.5594405594405595,0.39503771179848146
gb_smote_undersample,gradient_boosting,smote_undersample,0.4404866231536544,0.01572529627830671,0.1,0.5587548638132296,0.4125100748970886
logreg_class_weight,logistic_regression,class_weight,0.38341892566535135,0.023338384518896364,0.35000000000000003,0.5586854460093896,0.41670562302384695
