Attack_Day,Baseline_CR,CR_Omega_30,CR_Omega_40,CR_Omega_50
0,23.70794562747103,23.70794562747103,23.70794562747103,23.70794562747103
1,23.70794562747103,23.70794562747103,23.70794562747103,23.70794562747103
2,23.70794562747103,23.70794562747103,23.70794562747103,23.70794562747103
3,23.70794562747103,23.70794562747103,23.70794562747103,23.70794562747103
4,23.70794562747103,23.69999823694324,23.69999823694324,23.69999823694324
5,23.70794562747103,23.69999823694324,23.69999823694324,23.69999823694324
6,23.70794562747103,23.69999823694324,23.69999823694324,23.69999823694324
7,23.70794562747103,22.457351574480462,22.457351574480462,22.457351574480462
8,23.70794562747103,22.457351574480462,22.457351574480462,22.457351574480462
9,23.70794562747103,22.457351574480462,22.457351574480462,22.457351574480462
10,23.70794562747103,22.067425266179928,22.067425266179928,22.067425266179928
11,23.70794562747103,23.12163012094215,23.12163012094215,23.12163012094215
12,23.70794562747103,23.12163012094215,23.12163012094215,23.12163012094215
13,23.70794562747103,23.12163012094215,23.12163012094215,23.12163012094215
14,23.70794562747103,23.12163012094215,23.12163012094215,23.12163012094215
15,23.70794562747103,23.122094131092542,23.188367747573412,23.188367747573412
16,23.70794562747103,23.122094131092542,23.188367747573412,23.188367747573412
17,23.70794562747103,23.122094131092542,23.188367747573412,23.188367747573412
18,23.70794562747103,23.122094131092542,23.188367747573412,23.188367747573412
19,23.70794562747103,23.122094131092542,22.23383988693955,22.23383988693955
20,23.70794562747103,22.32898237444537,23.413178537247042,23.413178537247042
21,23.70794562747103,23.22169499730721,22.72760567948839,22.72760567948839
22,23.70794562747103,21.4547950824989,21.345386133971335,21.345386133971335
23,23.70794562747103,21.4547950824989,21.345386133971335,21.345386133971335
24,23.70794562747103,21.4547950824989,21.345386133971335,21.345386133971335
25,23.70794562747103,21.4547950824989,21.345386133971335,21.345386133971335
26,23.70794562747103,21.4547950824989,21.345386133971335,21.345386133971335
27,23.70794562747103,21.4547950824989,21.345386133971335,21.345386133971335
28,23.70794562747103,21.4547950824989,21.345386133971335,21.345386133971335
29,23.70794562747103,21.4547950824989,21.345386133971335,21.345386133971335
30,23.70794562747103,21.443129740667477,23.404935680825712,23.404935680825712
31,23.70794562747103,21.44265803086034,23.40340645277129,23.40340645277129
